k,min_voisins,part,RMSE,MAE,précision@10,rappel@10,NDCG@10,popularité médiane,films distincts
20,7,0,1.0445669521967063,0.8023757564357398,0.10089418777943367,0.13741447268217213,0.14254957202641286,123.0,384.0
20,7,1,1.044131146694155,0.8012477098049082,0.10193740685543964,0.13467473173388578,0.14928182773305246,126.0,379.0
20,7,2,1.043913318804491,0.8000620013598247,0.10000000000000002,0.1327392983255084,0.14587686490448856,120.0,372.0
20,7,3,1.0480386779240904,0.8034266548390616,0.1053651266766021,0.1311985763670435,0.14388284025045553,124.0,377.0
20,7,4,1.0447951894958094,0.8026538430644689,0.09716840536512668,0.12594774641920092,0.1349464468531274,127.0,360.0
20,8,0,1.0445669521967063,0.8023757564357398,0.09761549925484352,0.12570142445365268,0.14148939537835614,124.0,343.0
20,8,1,1.044131146694155,0.8012477098049082,0.10223546944858419,0.12968396266212578,0.1497164785073501,126.0,347.0
20,8,2,1.043913318804491,0.8000620013598247,0.0977645305514158,0.11897471672046656,0.142132531049301,124.0,321.0
20,8,3,1.0480386779240904,0.8034266548390616,0.10134128166915052,0.11863400150326185,0.14077786431796194,126.0,339.0
20,8,4,1.0447951894958094,0.8026538430644689,0.09746646795827124,0.11442113159858855,0.13453624454509844,129.0,334.0
25,8,0,1.037346691737964,0.7973976403344484,0.10268256333830106,0.1426056848434991,0.1482039920936247,124.0,345.0
25,8,1,1.0366619728479374,0.7977817775129572,0.10476900149031296,0.13975117809362553,0.14967056763258113,129.0,357.0
25,8,2,1.0360443046035301,0.7945829335263317,0.10327868852459016,0.14079195788219948,0.1504635576933124,120.0,335.0
25,8,3,1.0372611968414862,0.7978770858295653,0.10327868852459018,0.1313057375465796,0.14231790374723474,126.0,335.0
25,8,4,1.0371755585005251,0.7975410303884859,0.09880774962742175,0.12805235787883365,0.13752938859926184,129.0,325.0
25,10,0,1.037346691737964,0.7973976403344484,0.10223546944858419,0.1310926655033672,0.14986369281527992,129.0,298.0
25,10,1,1.0366619728479374,0.7977817775129572,0.1067064083457526,0.12941034700419726,0.15076742298269605,127.0,291.0
25,10,2,1.0360443046035301,0.7945829335263317,0.10044709388971684,0.12314619604034534,0.1469711331117109,129.0,279.0
25,10,3,1.0372611968414862,0.7978770858295653,0.10283159463487332,0.12117432187479914,0.14394686309131915,127.0,284.0
25,10,4,1.0371755585005251,0.7975410303884859,0.09985096870342772,0.11628926865579868,0.13699389702463474,129.0,285.0
