,RMSE,MAE,précision@10,rappel@10,NDCG@10,popularité médiane,films distincts
"référence (50, 15), seuil 0",1.017834799160506,0.7853493079971192,0.10804769001490314,0.14100034157277763,0.1505162134980365,133.6,218.6
"en plus : (50, 15) + seuil 0,10",1.015651166367064,0.783708883374634,0.10524590163934426,0.13329705942053185,0.14537411341530598,130.8,210.8
"en plus : (50, 15) + seuil 0,15",1.0143016075100335,0.7817345365225933,0.09096870342771982,0.1055149715384001,0.1234919440367084,128.8,202.6
"à la place : seuil 0,10, min_v 15",0.9934091342319447,0.7695254012024767,0.04944858420268257,0.06252707709873179,0.06964532062673948,89.2,197.0
"à la place : seuil 0,15, min_v 15",1.0025329841614112,0.7738634458021192,0.06637853949329359,0.07624480421084405,0.09081829347426752,125.6,198.2
